,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total images
0,1,0,0,672,11,0,0,0,0,0,0,0,1005
0,2,0,0,650,33,0,0,0,0,0,0,0,1005
0,3,0,0,565,118,0,0,0,0,0,0,0,1005
0,4,0,0,440,241,2,0,0,0,0,0,0,1005
0,5,0,1,336,310,35,1,0,0,0,0,0,1005
0,6,0,5,259,287,115,17,0,0,0,0,0,1005
0,7,0,11,210,241,135,71,14,1,0,0,0,1005
0,8,0,20,164,193,148,87,56,13,2,0,0,1005
0,9,2,29,137,163,137,83,79,45,8,0,0,1005
0,10,8,36,114,124,135,92,81,65,26,2,0,1005
0,11,12,32,85,113,109,105,76,79,64,8,0,1005
0,12,14,33,72,102,91,105,87,81,81,17,0,1005
0,13,17,31,69,84,91,83,95,90,91,32,0,1005
0,14,16,28,53,82,75,80,98,84,100,64,3,1005
0,15,17,27,48,80,63,78,74,94,104,92,6,1005
0,16,20,26,46,78,60,67,75,82,105,104,20,1005
0,17,18,24,35,65,59,59,73,83,93,139,35,1005
0,18,18,21,33,62,56,57,69,78,91,143,55,1005
0,19,19,22,35,63,58,54,62,79,80,141,70,1005
0,20,19,21,33,59,54,49,64,71,85,148,80,1005
0,21,16,18,30,40,63,53,56,76,78,152,101,1005
0,22,16,20,29,44,62,54,51,74,80,147,106,1005
0,23,17,19,32,34,59,55,48,68,82,145,124,1005
0,24,16,13,31,34,52,57,50,64,79,143,144,1005
0,25,17,16,28,30,53,53,52,64,77,144,149,1005
0,26,17,14,31,32,45,57,52,62,82,142,149,1005
0,27,17,13,32,29,37,59,49,60,85,131,171,1005
0,28,17,15,32,33,44,54,44,57,80,117,190,1005
0,29,15,13,27,31,38,41,59,59,76,118,206,1005
0,30,20,17,30,29,40,53,45,55,73,110,211,1005
0,31,18,11,30,28,35,49,46,61,59,118,228,1005
0,32,17,11,32,32,32,49,43,65,56,117,229,1005
0,33,20,10,33,30,33,47,49,58,69,111,223,1005
0,34,19,7,27,28,39,39,49,58,73,111,233,1005
0,35,19,8,27,22,40,35,50,56,65,122,239,1005
0,36,17,11,24,22,39,30,49,55,69,115,252,1005
0,37,16,10,25,19,43,30,48,63,65,121,243,1005
0,38,15,13,20,21,40,34,47,53,73,118,249,1005
0,39,17,10,22,22,36,35,39,54,73,110,265,1005
0,40,15,10,22,21,38,33,40,58,72,110,264,1005
0,41,15,10,23,20,35,26,43,53,77,99,282,1005
0,42,18,8,23,31,27,36,38,56,68,103,275,1005
0,43,16,11,21,20,34,31,37,53,70,106,284,1005
0,44,15,11,18,19,31,31,42,41,74,97,304,1005
0,45,15,9,20,20,26,29,42,43,74,98,307,1005
0,46,13,10,18,16,24,28,42,42,64,95,331,1005
0,47,12,13,19,18,27,34,41,38,73,100,308,1005
0,48,18,8,19,25,22,27,52,34,73,90,315,1005
0,49,17,8,20,18,20,32,39,41,69,87,332,1005
0,50,17,8,15,20,24,27,45,33,65,87,342,1005
0,51,15,8,18,15,28,25,40,38,60,92,344,1005
0,52,13,8,18,14,26,22,36,39,50,99,358,1005
0,53,16,9,16,18,18,29,35,42,44,100,356,1005
0,54,15,8,17,21,15,29,41,35,46,100,356,1005
0,55,18,5,21,15,20,31,33,36,45,97,362,1005
0,56,16,5,18,12,19,27,28,38,45,100,375,1005
0,57,18,6,22,14,25,26,36,34,59,88,355,1005
0,58,13,6,19,13,20,22,39,36,49,93,373,1005
0,59,13,9,20,17,20,22,39,36,41,94,372,1005
0,60,14,6,19,16,22,26,33,31,49,88,379,1005
0,61,14,8,18,14,23,20,32,36,47,78,393,1005
0,62,17,8,16,18,23,20,35,27,54,81,384,1005
0,63,13,9,16,13,19,18,35,35,46,84,395,1005
0,64,12,9,14,11,18,23,25,35,52,74,410,1005
0,65,14,8,14,13,12,19,32,30,43,80,418,1005
0,66,15,9,16,11,18,20,33,34,43,78,406,1005
0,67,15,7,11,15,12,20,30,27,42,76,428,1005
0,68,17,11,13,19,16,29,23,28,39,70,418,1005
0,69,14,8,19,12,15,26,29,26,43,71,420,1005
0,70,13,12,13,10,17,23,23,27,40,65,440,1005
0,71,13,9,14,10,14,26,24,34,42,70,427,1005
0,72,12,7,11,9,12,16,24,28,36,72,456,1005
0,73,14,11,11,5,20,18,23,31,38,65,447,1005
0,74,13,10,9,9,14,16,12,38,39,67,456,1005
0,75,13,8,13,9,15,12,24,27,38,58,466,1005
0,76,14,9,13,9,16,16,18,27,37,57,467,1005
0,77,16,10,11,12,19,19,22,23,34,64,453,1005
0,78,18,6,13,11,14,20,21,31,34,63,452,1005
0,79,16,8,10,11,15,13,22,26,35,52,475,1005
0,80,18,5,14,12,16,10,18,23,33,60,474,1005
0,81,20,7,15,13,10,23,19,31,31,54,460,1005
0,82,18,4,18,17,17,9,21,21,38,59,461,1005
0,83,13,9,11,14,8,12,15,20,34,55,492,1005
0,84,13,13,8,7,15,14,17,21,27,58,490,1005
0,85,18,6,13,11,19,19,14,21,35,58,469,1005
0,86,17,9,13,17,9,16,13,24,33,61,471,1005
0,87,14,4,13,12,14,15,11,15,37,56,492,1005
0,88,14,7,15,9,14,8,13,19,21,60,503,1005
0,89,16,6,15,12,11,15,10,15,33,58,492,1005
0,90,14,7,15,15,9,15,12,19,27,47,503,1005
0,91,14,9,10,15,9,12,14,18,27,49,506,1005
0,92,15,9,10,17,13,16,7,21,30,51,494,1005
0,93,14,10,8,22,6,16,12,16,28,58,493,1005
0,94,14,8,6,9,9,18,11,19,18,48,523,1005
0,95,20,5,11,18,13,8,9,19,34,41,505,1005
0,96,18,10,11,15,8,13,8,20,29,44,507,1005
0,97,18,9,16,13,11,11,11,15,28,53,498,1005
0,98,14,9,16,14,8,9,8,21,17,41,526,1005
0,99,14,7,15,15,12,7,10,18,25,47,513,1005
0,100,15,6,9,14,10,4,12,16,20,33,544,1005
